Authors,Author Full Names,Article Title,Source Title,Abstract,Publication Date,Publication Year,Volume,Issue,DOI,Pubmed Id
"McGoohan, K; Amjad, A; Ratcliffe, N; Bhattacharyya, S; Granville, G; Sullivan, M; Gosden, L; Aarsland, D; Chaudhuri, KR; Ffytche, D; Ballard, C; Velayudhan, L","McGoohan, Katie; Amjad, Anneesa; Ratcliffe, Natasha; Bhattacharyya, Sagnik; Granville, Gillian; Sullivan, Matthew; Gosden, Lesley; Aarsland, Dag; Chaudhuri, K. Ray; Ffytche, Dominic; Ballard, Clive; Velayudhan, Latha",A Preliminary Investigation of the Views of People With Parkinson's (With and Without Psychosis) and Caregivers on Participating in Clinical Trials During the Covid-19 Pandemic: An Online Survey,FRONTIERS IN PSYCHIATRY,"Background: The coronavirus pandemic is having a profound impact on non-COVID-19 related research, including the delivery of clinical trials for patients with Parkinson's disease. Objectives: A preliminary investigation to explore the views of Parkinson's disease (PD) patients, with and without experience of psychosis symptoms, and carers on the resumption of clinical research and adaptations to trials in light of COVID-19. Methods: An anonymous self-administered online survey was completed by 30 PD patients and six family members/carers via the Parkinson's UK Research Support Network to explore current perceptions on taking part in PD research and how a planned clinical trial for psychosis in PD may be adapted so participants feel safe. Results: Ninety-one percent of respondents were enthusiastic about the continuation of non-COVID-19 related research as long as certain safety measures were in place. Ninety-four percent stated that they would be happy to complete assessments virtually. However, they noted that care should be taken to ensure that this does not exclude participants, particularly those with more advanced PD who may require assistance using portable electronic devices. Regular and supportive communication from the research team was also seen as important for maintaining the psychological well-being of participants while taking part in the trial. Conclusions: In the era of COVID-19 pandemic, standard approaches will have to be modified and rapid adoption of virtual assessments will be critical for the continuation of clinical research. It is important that alongside the traditional methods, new tools are developed, and older ones validated for virtual assessments, to allow safe and comprehensive assessments vital for ongoing research in people with Parkinson's.",DEC 23,2020,11,,10.3389/fpsyt.2020.602480,33424665
"Berry, DA; Berry, S; Hale, P; Isakov, L; Lo, AW; Siah, KW; Wong, CH","Berry, Donald A.; Berry, Scott; Hale, Peter; Isakov, Leah; Lo, Andrew W.; Siah, Kien Wei; Wong, Chi Heem",A cost/benefit analysis of clinical trial designs for COVID-19 vaccine candidates,PLOS ONE,"We compare and contrast the expected duration and number of infections and deaths averted among several designs for clinical trials of COVID-19 vaccine candidates, including traditional and adaptive randomized clinical trials and human challenge trials. Using epidemiological models calibrated to the current pandemic, we simulate the time course of each clinical trial design for 756 unique combinations of parameters, allowing us to determine which trial design is most effective for a given scenario. A human challenge trial provides maximal net benefits-averting an additional 1.1M infections and 8,000 deaths in the U.S. compared to the next best clinical trial design-if its set-up time is short or the pandemic spreads slowly. In most of the other cases, an adaptive trial provides greater net benefits.",DEC 23,2020,15,12,10.1371/journal.pone.0244418,33362278
"Bosi, E; Bosi, C; Querini, PR; Mancini, N; Calori, G; Ruggeri, A; Canzonieri, C; Callegaro, L; Clementi, M; De Cobelli, F; Filippi, M; Bregni, M","Bosi, Emanuele; Bosi, Carlo; Querini, Patrizia Rovere; Mancini, Nicasio; Calori, Giliola; Ruggeri, Annalisa; Canzonieri, Cecilia; Callegaro, Luciano; Clementi, Massimo; De Cobelli, Francesco; Filippi, Massimo; Bregni, Marco",Interferon beta-1a (IFN beta-1a) in COVID-19 patients (INTERCOP): study protocol for a randomized controlled trial,TRIALS,"BackgroundPharmacological therapies of proven efficacy in coronavirus disease 2019 (COVID-19) are still lacking. We have identified IFN beta -1a as the most promising drug to be repurposed for COVID-19. The rationale relies on the evidence of IFN beta anti-viral activity in vitro against SARS-CoV-2 and animal models resembling SARS-CoV-2 infection and on a recent clinical trial where IFN beta was indicated as the key component of a successful therapeutic combination.MethodsThis is a randomized, controlled, open-label, monocentric, phase II trial (INTERCOP trial). One hundred twenty-six patients with positive swab detection of SARS-CoV-2, radiological signs of pneumonia, and mild-to-moderate disease will be randomized 2:1 to IFN beta -1a in addition to standard of care vs standard of care alone. No other anti-viral drugs will be used as part of the regimens, both in the control and the intervention arms. IFN beta -1a will be administered subcutaneously at the dose of 44 mcg (equivalent to 12 million international units) three times per week, at least 48h apart, for a total of 2 weeks. The primary outcome is the time to negative conversion of SARS-CoV-2 nasopharyngeal swabs. Secondary outcomes include improvement or worsening in a clinical severity score measured on a 7-point ordinal scale (including transfer to intensive care unit and death), oxygen- and ventilator-free days, mortality, changes in pulmonary computed tomography severity score, hospital stay duration, reduction of viral load measured on nasopharyngeal swabs, number of serious adverse events, and changes in biochemical markers of organ dysfunction. Exploratory outcomes include blood cell counts, cytokine and inflammatory profile, peripheral mRNA expression profiles of interferon-stimulated genes, and antibodies to SARS-CoV-2 and to IFN beta -1a. INTERCOP is the first study to specifically investigate the clinical benefits of IFN beta -1a in COVID-19 patients.DiscussionPotential implications of this trial are multifaceted: should the primary outcome be fulfilled and the treatment be safe, one may envisage that IFN beta -1a be used to reduce the infectivity of patients with mild-to moderate disease. In case IFN beta -1a reduced the duration of hospital stay and/or ameliorated the clinical status, it may become a cornerstone of COVID-19 treatment.Trial registrationEudraCT 2020-002458-25. Registered on May 11, 2020ClinicalTrials.gov Identifier: NCT04449380",DEC 23,2020,21,1,10.1186/s13063-020-04864-4,33225960
"Cornelius, V; Cro, S; Phillips, R","Cornelius, Victoria; Cro, Suzie; Phillips, Rachel",Advantages of visualisations to evaluate and communicate adverse event information in randomised controlled trials,TRIALS,"Background Randomised controlled trials (RCTs) provide valuable information and inform the development of harm profiles of new treatments. Harms are typically assessed through the collection of adverse events (AEs). Despite AEs being routine outcomes collected in trials, analysis and reporting of AEs in journal articles are continually shown to be suboptimal. One key challenge is the large volume of AEs, which can make evaluation and communication problematic. Prominent practice is to report frequency tables of AEs by arm. Visual displays offer an effective solution to assess and communicate complex information; however, they are rarely used and there is a lack of practical guidance on what and how to visually display complex AE data. Methods In this article, we demonstrate the use of two plots identified to be beneficial for wide use in RCTs, since both can display multiple AEs and are suitable to display point estimates for binary, count, or time-to-event AE data: the volcano and dot plots. We compare and contrast the use of data visualisations against traditional frequency table reporting, using published AE information in two placebo-controlled trials, of remdesivir for COVID-19 and GDNF for Parkinson disease. We introduce statistical programmes for implementation in Stata. Results/case study Visualisations of AEs in the COVID-19 trial communicated a risk profile for remdesivir which differed from the main message in the published authors' conclusion. In the Parkinson's disease trial of GDNF, the visualisation provided immediate communication of harm signals, which had otherwise been contained within lengthy descriptive text and tables. Asymmetry in the volcano plot helped flag extreme events that were less obvious from review of the frequency table and dot plot. The dot plot allowed a more comprehensive representation by means of a more detailed summary. Conclusions Visualisations can better support investigators to assimilate large volumes of data and enable improved informal between-arm comparisons compared to tables. We endorse increased uptake for use in trial publications. Care in construction of visual displays needs to be taken as there can be potential to overemphasise treatment effects in some circumstances.",DEC 22,2020,21,1,10.1186/s13063-020-04903-0,33353566
"Ramasamy, MN; Minassian, AM; Ewer, KJ; Flaxman, AL; Folegatti, PM; Owens, DR; Voysey, M; Aley, PK; Angus, B; Babbage, G; Belij-Rammerstorfer, S; Berry, L; Bibi, S; Bittaye, M; Cathie, K; Chappell, H; Charlton, S; Cicconi, P; Clutterbuck, EA; Colin-Jones, R; Dold, C; Emary, KRW; Fedosyuk, S; Fuskova, M; Gbesemete, D; Green, C; Hallis, B; Hou, MM; Jenkin, D; Joe, CCD; Kelly, EJ; Kerridge, S; Lawrie, AM; Lelliott, A; Lwin, MN; Makinson, R; Marchevsky, NG; Mujadidi, Y; Munro, APS; Pacurar, M; Plested, E; Rand, J; Rawlinson, T; Rhead, S; Robinson, H; Ritchie, AJ; Ross-Russell, AL; Saich, S; Singh, N; Smith, CC; Snape, MD; Song, R; Tarrant, R; Themistocleous, Y; Thomas, KM; Villafana, TL; Warren, SC; Watson, MEE; Douglas, AD; Hill, AVS; Lambe, T; Gilbert, SC; Faust, SN; Pollard, AJ","Ramasamy, Maheshi N.; Minassian, Angela M.; Ewer, Katie J.; Flaxman, Amy L.; Folegatti, Pedro M.; Owens, Daniel R.; Voysey, Merryn; Aley, Parvinder K.; Angus, Brian; Babbage, Gavin; Belij-Rammerstorfer, Sandra; Berry, Lisa; Bibi, Sagida; Bittaye, Mustapha; Cathie, Katrina; Chappell, Harry; Charlton, Sue; Cicconi, Paola; Clutterbuck, Elizabeth A.; Colin-Jones, Rachel; Dold, Christina; Emary, Katherine R. W.; Fedosyuk, Sofiya; Fuskova, Michelle; Gbesemete, Diane; Green, Catherine; Hallis, Bassam; Hou, Mimi M.; Jenkin, Daniel; Joe, Carina C. D.; Kelly, Elizabeth J.; Kerridge, Simon; Lawrie, Alison M.; Lelliott, Alice; Lwin, May N.; Makinson, Rebecca; Marchevsky, Natalie G.; Mujadidi, Yama; Munro, Alasdair P. S.; Pacurar, Mihaela; Plested, Emma; Rand, Jade; Rawlinson, Thomas; Rhead, Sarah; Robinson, Hannah; Ritchie, Adam J.; Ross-Russell, Amy L.; Saich, Stephen; Singh, Nisha; Smith, Catherine C.; Snape, Matthew D.; Song, Rinn; Tarrant, Richard; Themistocleous, Yrene; Thomas, Kelly M.; Villafana, Tonya L.; Warren, Sarah C.; Watson, Marion E. E.; Douglas, Alexander D.; Hill, Adrian V. S.; Lambe, Teresa; Gilbert, Sarah C.; Faust, Saul N.; Pollard, Andrew J.","Safety and immunogenicity of ChAdOx1 nCoV-19 vaccine administered in a prime-boost regimen in young and old adults (COV002): a single-blind, randomised, controlled, phase 2/3 trial",LANCET,"Background Older adults (aged >= 70 years) are at increased risk of severe disease and death if they develop COVID-19 and are therefore a priority for immunisation should an efficacious vaccine be developed. Immunogenicity of vaccines is often worse in older adults as a result of immunosenescence. We have reported the immunogenicity of a novel chimpanzee adenovirus-vectored vaccine, ChAdOx1 nCoV-19 (AZD1222), in young adults, and now describe the safety and immunogenicity of this vaccine in a wider range of participants, including adults aged 70 years and older. Methods In this report of the phase 2 component of a single-blind, randomised, controlled, phase 2/3 trial (COV002), healthy adults aged 18 years and older were enrolled at two UK clinical research facilities, in an age-escalation manner, into 18-55 years, 56-69 years, and 70 years and older immunogenicity subgroups. Participants were eligible if they did not have severe or uncontrolled medical comorbidities or a high frailty score (if aged >= 65 years). First, participants were recruited to a low-dose cohort, and within each age group, participants were randomly assigned to receive either intramuscular ChAdOx1 nCoV-19 (2.2 x 10(10) virus particles) or a control vaccine, MenACWY, using block randomisation and stratified by age and dose group and study site, using the following ratios: in the 18-55 years group, 1:1 to either two doses of ChAdOx1 nCoV-19 or two doses of MenACWY; in the 56-69 years group, 3:1:3:1 to one dose of ChAdOx1 nCoV-19, one dose of MenACWY, two doses of ChAdOx1 nCoV-19, or two doses of MenACWY; and in the 70 years and older, 5:1:5:1 to one dose of ChAdOx1 nCoV-19, one dose of MenACWY, two doses of ChAdOx1 nCoV-19, or two doses of MenACWY. Prime-booster regimens were given 28 days apart. Participants were then recruited to the standard-dose cohort (3.5-6.5 x 10(10) virus particles of ChAdOx1 nCoV-19) and the same randomisation procedures were followed, except the 18-55 years group was assigned in a 5:1 ratio to two doses of ChAdOx1 nCoV-19 or two doses of MenACWY. Participants and investigators, but not staff administering the vaccine, were masked to vaccine allocation. The specific objectives of this report were to assess the safety and humoral and cellular immunogenicity of a single-dose and two-dose schedule in adults older than 55 years. Humoral responses at baseline and after each vaccination until 1 year after the booster were assessed using an in-house standardised ELISA, a multiplex immunoassay, and a live severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) microneutralisation assay (MNA 80). Cellular responses were assessed using an ex-vivo IFN-gamma enzyme-linked immunospot assay. The coprimary outcomes of the trial were efficacy, as measured by the number of cases of symptomatic, virologically confirmed COVID-19, and safety, as measured by the occurrence of serious adverse events. Analyses were by group allocation in participants who received the vaccine. Here, we report the preliminary findings on safety, reactogenicity, and cellular and humoral immune responses. This study is ongoing and is registered with ClinicalTrials.gov, NCT04400838, and ISRCTN, 15281137. Findings Between May 30 and Aug 8, 2020, 560 participants were enrolled: 160 aged 18-55 years (100 assigned to ChAdOx1 nCoV-19, 60 assigned to MenACWY), 160 aged 56-69 years (120 assigned to ChAdOx1 nCoV-19: 40 assigned to MenACWY), and 240 aged 70 years and older (200 assigned to ChAdOx1 nCoV-19: 40 assigned to MenACWY). Seven participants did not receive the boost dose of their assigned two-dose regimen, one participant received the incorrect vaccine, and three were excluded from immunogenicity analyses due to incorrectly labelled samples. 280 (50%) of 552 analysable participants were female. Local and systemic reactions were more common in participants given ChAdOx1 nCoV-19 than in those given the control vaccine, and similar in nature to those previously reported (injection-site pain, feeling feverish, muscle ache, headache), but were less common in older adults (aged >= 56 years) than younger adults. In those receiving two standard doses of ChAdOx1 nCoV-19, after the prime vaccination local reactions were reported in 43 (88%) of 49 participants in the 18-55 years group, 22 (73%) of 30 in the 56-69 years group, and 30 (61%) of 49 in the 70 years and older group, and systemic reactions in 42 (86%) participants in the 18-55 years group, 23 (77%) in the 56-69 years group, and 32 (65%) in the 70 years and older group. As of Oct 26, 2020, 13 serious adverse events occurred during the study period, none of which were considered to be related to either study vaccine. In participants who received two doses of vaccine, median anti-spike SARS-CoV-2 IgG responses 28 days after the boost dose were similar across the three age cohorts (standard-dose groups: 18-55 years, 20 713 arbitrary units [AU]/mL [IQR 13 898-33 550], n=39; 56-69 years, 16 170 AU/mL [10 233-40 353], n=26; and >= 70 years 17 561 AU/mL [9705-37 796], n=47; p=0.68). Neutralising antibody titres after a boost dose were similar across all age groups (median MNA(80) at day 42 in the standard-dose groups: 18-55 years, 193 [IQR 113-238], n=39; 56-69 years, 144 [119-347], n=20; and >= 70 years, 161 [73-323], n=47; p=0.40). By 14 days after the boost dose, 208 (>99%) of 209 boosted participants had neutralising antibody responses. T-cell responses peaked at day 14 after a single standard dose of ChAdOx1 nCoV-19 (18-55 years: median 1187 spot-forming cells [SFCs] per million peripheral blood mononuclear cells [IQR 841-2428], n=24; 56-69 years: 797 SFCs [383-1817], n=29; and >= 70 years: 977 SFCs [458-1914], n=48). Interpretation ChAdOx1 nCoV-19 appears to be better tolerated in older adults than in younger adults and has similar immunogenicity across all age groups after a boost dose. Further assessment of the efficacy of this vaccine is warranted in all age groups and individuals with comorbidities.",DEC 19,2020,396,10267,10.1016/S0140-6736(20)32466-1,33220855
"Barrett, JR; Belij-Rammerstorfer, S; Dold, C; Ewer, KJ; Folegatti, PM; Gilbride, C; Halkerston, R; Hill, J; Jenkin, D; Stockdale, L; Verheul, MK; Aley, PK; Angus, B; Bellamy, D; Berrie, E; Bibi, S; Bittaye, M; Carroll, MW; Cavell, B; Clutterbuck, EA; Edwards, N; Flaxman, A; Fuskova, M; Gorringe, A; Hallis, B; Kerridge, S; Lawrie, AM; Linder, A; Liu, XX; Madhavan, M; Makinson, R; Mellors, J; Minassian, A; Moore, M; Mujadidi, Y; Plested, E; Poulton, I; Ramasamy, MN; Robinson, H; Rollier, CS; Song, R; Snape, MD; Tarrant, R; Taylor, S; Thomas, KM; Voysey, M; Watson, MEE; Wright, D; Douglas, AD; Green, CM; Hill, AVS; Lambe, T; Gilbert, S; Pollard, AJ","Barrett, Jordan R.; Belij-Rammerstorfer, Sandra; Dold, Christina; Ewer, Katie J.; Folegatti, Pedro M.; Gilbride, Ciaran; Halkerston, Rachel; Hill, Jennifer; Jenkin, Daniel; Stockdale, Lisa; Verheul, Marije K.; Aley, Parvinder K.; Angus, Brian; Bellamy, Duncan; Berrie, Eleanor; Bibi, Sagida; Bittaye, Mustapha; Carroll, Miles W.; Cavell, Breeze; Clutterbuck, Elizabeth A.; Edwards, Nick; Flaxman, Amy; Fuskova, Michelle; Gorringe, Andrew; Hallis, Bassam; Kerridge, Simon; Lawrie, Alison M.; Linder, Aline; Liu, Xinxue; Madhavan, Meera; Makinson, Rebecca; Mellors, Jack; Minassian, Angela; Moore, Maria; Mujadidi, Yama; Plested, Emma; Poulton, Ian; Ramasamy, Maheshi N.; Robinson, Hannah; Rollier, Christine S.; Song, Rinn; Snape, Matthew D.; Tarrant, Richard; Taylor, Stephen; Thomas, Kelly M.; Voysey, Merryn; Watson, Marion E. E.; Wright, Daniel; Douglas, Alexander D.; Green, Catherine M.; Hill, Adrian V. S.; Lambe, Teresa; Gilbert, Sarah; Pollard, Andrew J.",Phase 1/2 trial of SARS-CoV-2 vaccine ChAdOx1 nCoV-19 with a booster dose induces multifunctional antibody responses,NATURE MEDICINE,"More than 190 vaccines are currently in development to prevent infection by the novel severe acute respiratory syndrome coronavirus 2. Animal studies suggest that while neutralizing antibodies against the viral spike protein may correlate with protection, additional antibody functions may also be important in preventing infection. Previously, we reported early immunogenicity and safety outcomes of a viral vector coronavirus vaccine, ChAdOx1 nCoV-19 (AZD1222), in a single-blinded phase 1/2 randomized controlled trial of healthy adults aged 18-55 years (NCT04324606). Now we describe safety and exploratory humoral and cellular immunogenicity of the vaccine, from subgroups of volunteers in that trial, who were subsequently allocated to receive a homologous full-dose (SD/SD D56; n = 20) or half-dose (SD/LD D56; n = 32) ChAdOx1 booster vaccine 56 d following prime vaccination. Previously reported immunogenicity data from the open-label 28-d interval prime-boost group (SD/SD D28; n = 10) are also presented to facilitate comparison. Additionally, we describe volunteers boosted with the comparator vaccine (MenACWY; n = 10). In this interim report, we demonstrate that a booster dose of ChAdOx1 nCoV-19 is safe and better tolerated than priming doses. Using a systems serology approach we also demonstrate that anti-spike neutralizing antibody titers, as well as Fc-mediated functional antibody responses, including antibody-dependent neutrophil/monocyte phagocytosis, complement activation and natural killer cell activation, are substantially enhanced by a booster dose of vaccine. A booster dose of vaccine induced stronger antibody responses than a dose-sparing half-dose boost, although the magnitude of T cell responses did not increase with either boost dose. These data support the two-dose vaccine regime that is now being evaluated in phase 3 clinical trials.",,,,,10.1038/s41591-020-01179-4,33335322
"Ewer, KJ; Barrett, JR; Belij-Rammerstorfer, S; Sharpe, H; Makinson, R; Morter, R; Flaxman, A; Wright, D; Bellamy, D; Bittaye, M; Dold, C; Provine, NM; Aboagye, J; Fowler, J; Silk, SE; Alderson, J; Aley, PK; Angus, B; Berrie, E; Bibi, S; Cicconi, P; Clutterbuck, EA; Chelysheva, I; Folegatti, PM; Fuskova, M; Green, CM; Jenkin, D; Kerridge, S; Lawrie, A; Minassian, AM; Moore, M; Mujadidi, Y; Plested, E; Poulton, I; Ramasamy, MN; Robinson, H; Song, R; Snape, MD; Tarrant, R; Voysey, M; Watson, MEE; Douglas, AD; Hill, AVS; Gilbert, SC; Pollard, AJ; Lambe, T","Ewer, Katie J.; Barrett, Jordan R.; Belij-Rammerstorfer, Sandra; Sharpe, Hannah; Makinson, Rebecca; Morter, Richard; Flaxman, Amy; Wright, Daniel; Bellamy, Duncan; Bittaye, Mustapha; Dold, Christina; Provine, Nicholas M.; Aboagye, Jeremy; Fowler, Jamie; Silk, Sarah E.; Alderson, Jennifer; Aley, Parvinder K.; Angus, Brian; Berrie, Eleanor; Bibi, Sagida; Cicconi, Paola; Clutterbuck, Elizabeth A.; Chelysheva, Irina; Folegatti, Pedro M.; Fuskova, Michelle; Green, Catherine M.; Jenkin, Daniel; Kerridge, Simon; Lawrie, Alison; Minassian, Angela M.; Moore, Maria; Mujadidi, Yama; Plested, Emma; Poulton, Ian; Ramasamy, Maheshi N.; Robinson, Hannah; Song, Rinn; Snape, Matthew D.; Tarrant, Richard; Voysey, Merryn; Watson, Marion E. E.; Douglas, Alexander D.; Hill, Adrian V. S.; Gilbert, Sarah C.; Pollard, Andrew J.; Lambe, Teresa",T cell and antibody responses induced by a single dose of ChAdOx1 nCoV-19 (AZD1222) vaccine in a phase 1/2 clinical trial,NATURE MEDICINE,"A single dose of the ChAdOx1 nCoV-19 vaccine elicits antibodies and cytokine-producing T cells that might help control or prevent SARS-CoV-2 infection. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the causative agent of Coronavirus Disease 2019 (COVID-19), has caused a global pandemic, and safe, effective vaccines are urgently needed(1). Strong, Th1-skewed T cell responses can drive protective humoral and cell-mediated immune responses(2) and might reduce the potential for disease enhancement(3). Cytotoxic T cells clear virus-infected host cells and contribute to control of infection(4). Studies of patients infected with SARS-CoV-2 have suggested a protective role for both humoral and cell-mediated immune responses in recovery from COVID-19 (refs. (5,6)). ChAdOx1 nCoV-19 (AZD1222) is a candidate SARS-CoV-2 vaccine comprising a replication-deficient simian adenovirus expressing full-length SARS-CoV-2 spike protein. We recently reported preliminary safety and immunogenicity data from a phase 1/2 trial of the ChAdOx1 nCoV-19 vaccine (NCT04400838)(7) given as either a one- or two-dose regimen. The vaccine was tolerated, with induction of neutralizing antibodies and antigen-specific T cells against the SARS-CoV-2 spike protein. Here we describe, in detail, exploratory analyses of the immune responses in adults, aged 18-55 years, up to 8 weeks after vaccination with a single dose of ChAdOx1 nCoV-19 in this trial, demonstrating an induction of a Th1-biased response characterized by interferon-gamma and tumor necrosis factor-alpha cytokine secretion by CD4(+) T cells and antibody production predominantly of IgG1 and IgG3 subclasses. CD8(+) T cells, of monofunctional, polyfunctional and cytotoxic phenotypes, were also induced. Taken together, these results suggest a favorable immune profile induced by ChAdOx1 nCoV-19 vaccine, supporting the progression of this vaccine candidate to ongoing phase 2/3 trials to assess vaccine efficacy.",,,,,10.1038/s41591-020-01194-5,33335323
"Bates, A; Rushbrook, S; Shapiro, E; Grocott, M; Cusack, R","Bates, Andrew; Rushbrook, Sophie; Shapiro, Elan; Grocott, Michael; Cusack, Rebecca",CovEMERALD: Assessing the feasibility and preliminary effectiveness of remotely delivered Eye Movement Desensitisation and Reprocessing following Covid-19 related critical illness: A structured summary of a study protocol for a randomised controlled trial,TRIALS,"ObjectivesPrimary Objective: To determine the feasibility of delivering a protocolised, remote, online, Eye Movement Desensitisation and Reprocessing (EMDR) intervention, within 12-weeks of hospital discharge, for adult survivors of Covid-19 related critical illness.Secondary objectives: To investigate whether remotely delivered EMDR can improve psychological outcome following Covid-19 related critical illness, specifically Post-Traumatic Stress Disorder (PTSD), anxiety and depression.Trial designThis is a single centre, randomised controlled cohort feasibility trial.ParticipantsParticipants will be recruited following discharge from the Intensive Care Unit at University Hospital Southampton, United Kingdom. Eligible patients will have received mechanical ventilation for a minimum of 24 hours, tested Covid-19 positive by polymerase chain reaction, will be over the age of 18 years and have the capacity to provide informed consent. Patients will be excluded if they have pre-existing cognitive impairment, pre-existing psychotic diagnosis or are not expected to survive post-hospital discharge.Intervention and comparatorGroup one: patients in the control arm will receive their standard package of prescribed care, following discharge home from hospital. If they experience any adverse physical or psychological health-conditions, they will access care through the usual available channels.Group two: patients randomly allocated to the intervention arm will receive their standard package of prescribed care, following discharge home from hospital. In addition, they will be referred to the Intensive Psychological Therapies Service in Poole, United Kingdom. They will receive an online appointment within 12-weeks of discharge home from hospital. They will receive a maximum of eight, weekly sessions of EMDR, delivered by a trained psychological therapist, following the Recent Traumatic Episode Protocol (R-TEP). Appendices 1 and 2 of the attached trial protocol contain a detailed description of the R-TEP intervention, written in accordance with the Template for Intervention Description and Replication (TIDieR) checklist and guide.Main outcomesThe primary outcome from this trial will be feasibility. Feasibility will be determined by recruitment rates, expressed as a percentage of eligible patients approached, completion of the EMDR intervention, completion of final assessment at 6-months, incidence of attributable adverse events and protocol adherence by the psychological therapists.Secondary, exploratory outcomes will be assessed by comparison between the control and intervention groups at 6-months post-hospital discharge. Psychometric evaluation will consist of the PTSD Checklist-Civilian Version and Hospital Anxiety and Depression Scale. In addition, we will assess health-related quality of life using the EQ5D-5L, physical activity using wrist worn activity monitors and nutritional state using the Council of Nutrition Appetite Questionnaire.RandomisationConsenting participants will be randomly allocated to intervention or usual care using an internet-based system (ALEA(TM)). Participants will be randomly assigned, on a 1:1 ratio, to receive either standard care (control) or the standard care plus online EMDR R-TEP (Intervention)Blinding (masking)Due to the nature of the intervention, participants cannot be blinded to group allocation. 6-month patient reported outcome measures will be completed using an online, electronic case report form. Group allocation will be masked during data analysis. Numbers to be randomised (sample size)This is a feasibility study, the results of which will be used to power a definitive study if appropriate. We anticipate a 25% mortality /loss to follow-up. A total of 26 patients will be recruited to this study, 13 patients in each arm.Trial StatusCovEMERALD opened to recruitment on 23(rd) September 2020 with an anticipated recruitment period of 6-months. We are using protocol version number 1.2 (1(st) June 2020)Trial registrationCovEMERALD was registered on clinicaltrials.gov NCT04455360 on 2(nd) July 2020Full protocolThe full protocol is attached as an additional file, accessible from the Trials website (Additional file 1). In the interest in expediting dissemination of this material, the familiar formatting has been eliminated; this letter serves as a summary of the key elements of the full protocol.The study protocol has been reported in accordance with the Standard Protocol Items: Recommendations for Clinical Interventional Trials (SPIRIT) guidelines (Additional file 2).",DEC 17,2020,21,1,10.1186/s13063-020-04805-1,33203440
"Barycka, K; Szarpak, L; Filipiak, KJ; Jaguszewski, M; Smereka, J; Ladny, JR; Turan, O","Barycka, Katarzyna; Szarpak, Lukasz; Filipiak, Krzysztof Jerzy; Jaguszewski, Milosz; Smereka, Jacek; Ladny, Jerzy Robert; Turan, Oguz",Comparative effectiveness of N95 respirators and surgical/face masks in preventing airborne infections in the era of SARS-CoV2 pandemic: A meta-analysis of randomized trials,PLOS ONE,"Background Recently, several randomized controlled trials (RCTs) have evaluated the effect of N95 respirators compared with medical masks to protect against acute respiratory infections. However, these studies are limited by modest sample sizes and inconclusive results. Therefore, the goal of the present study was to review the relevant and available published RCTs with the aid of the increased power of meta-analytic methods in order to assess the effectiveness of medical masks and N95 respirators in reducing the risk of respiratory infections. Methods This meta-analysis follows the recommendations of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement for conducting and reporting results. We searched PubMed, Web of Science, Embase, and Cochrane databases from inception through April 1, 2020 to identify potentially relevant studies. Two authors (LS and JS) independently searched the titles and abstracts of the potentially eligible articles. They independently retrieved required data from the eligible trials; the data were initially tabulated for statistical analysis. Two authors (JRL and LS) independently assessed the methodological quality of the included RCTs using the Cochrane Collaboration's tool for assessing risk of bias. Results Six articles met the inclusion criteria. The pooled analysis showed that N95 respirators did not reduce the risk of infection with respiratory viruses compared with medical/surgical masks (5.7% vs. 7.9%; RR = 1.12; 95% CI: 0.88-1.41; p = 0.36); however, there was no statistically significant difference in laboratory-confirmed influenza between N95 and medical masks (RR = 0.91; 95% CI: 0.77-1.07; p = 0.26). Medical masks provided similar protection against other viruses, including coronavirus (RR = 0.74; 95% CI: 0.32-1.73; p = 0.49). Respiratory illness, as well as influenza-like illness were less frequently observed with N95 respirators. Conclusions Our meta-analysis suggests that there are insufficient data to definitively determine whether N95 respirators are superior to medical masks in protection against transmissible acute respiratory infections. Further randomized trials are necessary to compare the above methods of respiratory protection in the context of COVID-19 incidence.",DEC 15,2020,15,12,10.1371/journal.pone.0242901,33320847
"Drobni, ZD; Alvi, RM; Taron, J; Zafar, A; Murphy, SP; Rambarat, PK; Mosarla, RC; Lee, C; Zlotoff, DA; Raghu, VK; Hartmann, SE; Gilman, HK; Gong, JY; Zubiri, L; Sullivan, RJ; Reynolds, KL; Mayrhofer, T; Zhang, LL; Hoffmann, U; Neilan, TG","Drobni, Zsofia D.; Alvi, Raza M.; Taron, Jana; Zafar, Amna; Murphy, Sean P.; Rambarat, Paula K.; Mosarla, Rayma C.; Lee, Charlotte; Zlotoff, Daniel A.; Raghu, Vineet K.; Hartmann, Sarah E.; Gilman, Hannah K.; Gong, Jingyi; Zubiri, Leyre; Sullivan, Ryan J.; Reynolds, Kerry L.; Mayrhofer, Thomas; Zhang, Lili; Hoffmann, Udo; Neilan, Tomas G.","Equipoise, Trust, and the Need for Cardiologists to Randomly Assign Patients Into Anticoagulation Trials in the Time of COVID",CIRCULATION,,DEC 15,2020,142,24,10.1161/CIRCULATIONAHA.120.049981,33003973
