Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2021
"Convalescent plasma in patients admitted to hospital with COVID-19 (RECOVERY): a randomised controlled, open-label, platform trial","Horby, Peter W.; Landray, Martin J.",RECOVERY Collaborative Grp,,,LANCET,MAY 29 2021,2021,397,10289,,,,2049,2059,,10.1016/S0140-6736(21)00897-7,,,0,0,0
The Effect of the Web-Based Communication between a Nurse and a Family Member on the Perceived Stress of the Family Member of Patients with Suspected or Confirmed COVID-19: A Parallel Randomized Clinical Trial,"Shariati, Esmail; Dadgari, Ali; Talebi, Seyedeh Solmaz; Mahmoodi Shan, Gholam Reza; Ebrahimi, Hossein",,,,CLINICAL NURSING RESEARCH,,2021,,,,,,,,1.05477E+16,10.1177/10547738211017688,,,0,0,0
"A Web-Based Group Cognitive Behavioral Therapy Intervention for Symptoms of Anxiety and Depression Among University Students: Open-Label, Pragmatic Trial","Bantjes, Jason; Kazdin, Alan E.; Cuijpers, Pim; Breet, Elsie; Dunn-Coetzee, Munita; Davids, Charl; Stein, Dan J.; Kessler, Ronald C.",,,,JMIR MENTAL HEALTH,MAY 27 2021,2021,8,5,,,,,,e27400,10.2196/27400,,,0,0,0
COVID-19 vaccine trials: The potential for hybrid analyses,"Fleming, Thomas R.; Nason, Martha; Krause, Philip R.; Longini, Ira M.; Henao-Restrepo, Ana-Maria",,,,CLINICAL TRIALS,,2021,,,,,,,,1.74077E+16,10.1177/17407745211018613,,,0,0,0
Factors Associated With Racial/Ethnic Group-Based Medical Mistrust and Perspectives on COVID-19 Vaccine Trial Participation and Vaccine Uptake in the US,"Thompson, Hayley S.; Manning, Mark; Mitchell, Jamie; Kim, Seongho; Harper, Felicity W. K.; Cresswell, Sheena; Johns, Kristopher; Pal, Shoma; Dowe, Brittany; Tariq, Madiha; Sayed, Nadia; Saigh, Lisa M.; Rutledge, Lisa; Lipscomb, Curtis; Lilly, Jametta Y.; Gustine, Heidi; Sanders, Annie; Landry, Megan; Marks, Bertram",,,,JAMA NETWORK OPEN,MAY 27 2021,2021,4,5,,,,,,e2111629,10.1001/jamanetworkopen.2021.11629,,,0,0,0
Effect of 2 Inactivated SARS-CoV-2 Vaccines on Symptomatic COVID-19 Infection in Adults A Randomized Clinical Trial,"Al Kaabi, Nawal; Zhang, Yuntao; Xia, Shengli; Yang, Yunkai; Al Qahtani, Manaf M.; Abdulrazzaq, Najiba; Al Nusair, Majed; Hassany, Mohamed; Jawad, Jaleela S.; Abdalla, Jehad; Hussein, Salah Eldin; Al Mazrouei, Shamma K.; Al Karam, Maysoon; Li, Xinguo; Yang, Xuqin; Wang, Wei; Lai, Bonan; Chen, Wei; Huang, Shihe; Wang, Qian; Yang, Tian; Liu, Yang; Ma, Rui; Hussain, Zaidoon M.; Khan, Tehmina; Saifuddin Fasihuddin, Mohammed; You, Wangyang; Xie, Zhiqiang; Zhao, Yuxiu; Jiang, Zhiwei; Zhao, Guoqing; Zhang, Yanbo; Mahmoud, Sally; ElTantawy, Islam; Xiao, Peng; Koshy, Ashish; Zaher, Walid Abbas; Wang, Hui; Duan, Kai; Pan, An; Yang, Xiaoming",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,,2021,,,,,,,,,10.1001/jama.2021.8565,,,0,0,0
"Testing the feasibility of operationalizing a prospective, randomized trial with remote cardiac safety EKG monitoring during a pandemic","Liu, Hans H.; Ezekowitz, Michael D.; Columbo, Michele; Khan, Oneib; Martin, Jack; Spahr, Judith; Yaron, David; Cushinotto, Lisa; Kapelusznik, Luciano",,,,JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,,2021,,,,,,,,,10.1007/s10840-021-00989-x,,,0,0,0
"Effect of the use of an endotracheal tube and stylet versus an endotracheal tube alone on first-attempt intubation success: a multicentre, randomised clinical trial in 999 patients","Jaber, Samir; Rolle, Amelie; Godet, Thomas; Terzi, Nicolas; Riu, Beatrice; Asfar, Pierre; Bourenne, Jeremy; Ramin, Severin; Lemiale, Virginie; Quenot, Jean-Pierre; Guitton, Christophe; Prudhomme, Eloi; Quemeneur, Cyril; Blondonnet, Raiko; Biais, Mathieu; Muller, Laurent; Ouattara, Alexandre; Ferrandiere, Martine; Saint-Leger, Piehr; Rimmele, Thomas; Pottecher, Julien; Chanques, Gerald; Belafia, Fouad; Chauveton, Claire; Huguet, Helena; Asehnoune, Karim; Futier, Emmanuel; Azoulay, Elie; Molinari, Nicolas; De Jong, Audrey",STYLETO Trial Grp,,,INTENSIVE CARE MEDICINE,,2021,,,,,,,,,10.1007/s00134-021-06417-y,,,0,0,0
Design of a Mobile Application and Evaluation of Its Effects on Psychological Parameters of Covid-19 Inpatients: A Protocol for a Randomized Controlled Trial,"Aalaei, Shokoufeh; Khoshrounejad, Farnaz; Saleh, Lahya Afshari; Amini, Mahnaz",,,,FRONTIERS IN PSYCHIATRY,MAY 24 2021,2021,12,,,,,,,612384,10.3389/fpsyt.2021.612384,,,0,0,0
e-Oral health interventions for older patients in an outreach primary dental care centre: A pilot trial nested acceptability study,"Wanyonyi, Kristina; Couch, Courtney; John, Jeyanthi; Louca, Chris",,,,GERODONTOLOGY,,2021,,,,,,,,,10.1111/ger.12562,,,0,0,0
Effect of hydroxychloroquine on COVID-19 prevention in cancer patients undergoing treatment: study protocol for a randomized controlled trial,"Rahimi, H.; Allahyari, A.; Ataei Azimi, S.; Kamandi, M.; Mozaheb, Z.; Zemorshidi, F.; Khadem-Rezaiyan, M.; Bary, A.; Seddigh-Shamsi, M.; Nodeh, M. Moeini",,,,TRIALS,MAY 19 2021,2021,22,1,,,,,,349,10.1186/s13063-021-05292-8,,,0,0,0
Phase 1 randomized trial of a plant-derived virus-like particle vaccine for COVID-19,"Ward, Brian J.; Gobeil, Philipe; Seguin, Annie; Atkins, Judith; Boulay, Iohann; Charbonneau, Pierre-Yves; Couture, Manon; D'aoust, Marc-Andre; Dhaliwall, Jiwanjeet; Finkle, Carolyn; Hager, Karen; Mahmood, Asif; Makarkov, Alexander; Cheng, Matthew P.; Pillet, Stephane; Schimke, Patricia; St-Martin, Sylvie; Trepanier, Sonia; Landry, Nathalie",,,,NATURE MEDICINE,,2021,,,,,,,,,10.1038/s41591-021-01370-1,,,0,0,0
Virucidal effect of povidone iodine on COVID-19 in the nasopharynx: an open-label randomized clinical trial,"Arefin, Mostafa Kamal; Rumi, S. K. Nurul Fattah; Uddin, A. K. M. Nasir; Banu, Sultana Sahana; Khan, Mala; Kaiser, Ahsanul; Chowdhury, Joybaer Anam; Khan, Md Abdullah Saeed; Hasan, Mohammad Jahid",,,,INDIAN JOURNAL OF OTOLARYNGOLOGY AND HEAD & NECK SURGERY,,2021,,,,,,,,,10.1007/s12070-021-02616-7,,,0,0,0
Safety and efficacy of meplazumab in healthy volunteers and COVID-19 patients: a randomized phase 1 and an exploratory phase 2 trial,"Bian, Huijie; Zheng, Zhao-Hui; Wei, Ding; Wen, Aidong; Zhang, Zheng; Lian, Jian-Qi; Kang, Wen-Zhen; Hao, Chun-Qiu; Wang, Jing; Xie, Rong-Hua; Dong, Ke; Xia, Jie-Lai; Miao, Jin-Lin; Kang, Wen; Li, Guoquan; Zhang, Di; Zhang, Mingru; Sun, Xiu-Xuan; Ding, Likun; Zhang, Kui; Jia, Junfeng; Ding, Jin; Li, Zhiqin; Jia, Yanyan; Liu, Lin-Na; Zhang, Zhe; Gao, Zhao-Wei; Du, Hong; Yao, Na; Wang, Qing; Wang, Ke; Geng, Jie-Jie; Wang, Bin; Guo, Ting; Chen, Ruo; Zhu, Yu-Meng; Wang, Li-Juan; He, Qian; Yao, Rui-Rui; Shi, Ying; Yang, Xiang-Min; Zhou, Jian-Sheng; Ma, Yi-Nan; Wang, Ya-Tao; Liang, Xue; Huo, Fei; Wang, Zhe; Zhang, Yang; Yang, Xu; Zhang, Ye; Gao, Lu-Hua; Wang, Ling; Chen, Xiao-Chun; Tang, Hao; Liu, Shuang-Shuang; Wang, Qing-Yi; Chen, Zhi-Nan; Zhu, Ping",,,,SIGNAL TRANSDUCTION AND TARGETED THERAPY,MAY 17 2021,2021,6,1,,,,,,,10.1038/s41392-021-00603-6,,,0,0,0
Under COVID-19 Pandemic: A Quasi-Experimental Trial of Observation on Diabetes Patients' Health Behavior Affected by the Pandemic From a Coaching Intervention Program,"Lin, Ching-Ling; Huang, Li-Chi; Chang, Yao-Tsung; Chen, Ruey-Yu; Yang, Shwu-Huey",,,,FRONTIERS IN PUBLIC HEALTH,MAY 14 2021,2021,9,,,,,,,580032,10.3389/fpubh.2021.580032,,,0,0,0
The Efficacy of Computerized Cognitive Behavioral Therapy for Depressive and Anxiety Symptoms in Patients With COVID-19: Randomized Controlled Trial,"Liu, Zhifen; Qiao, Dan; Xu, Yifan; Zhao, Wentao; Yang, Yang; Wen, Dan; Li, Xinrong; Nie, Xiaoping; Dong, Yongkang; Tang, Shiyou; Jiang, Yi; Wang, Ying; Zhao, Juan; Xu, Yong",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,MAY 14 2021,2021,23,5,,,,,,e26883,10.2196/26883,,,0,0,0
The Impact of COVID-19 on National Clinical Trials Network Breast Cancer Trials,"Ndumele, Amara; Park, Ko Un",,,,CURRENT BREAST CANCER REPORTS,,2021,,,,,,,,,10.1007/s12609-021-00417-z,,,0,0,0
"The safety and immunogenicity of an inactivated SARS-CoV-2 vaccine in Chinese adults aged 18?59 years: A phase I randomized, double-blinded, controlled trial","Pu, Jing; Yu, Qin; Yin, Zhifang; Zhang, Ying; Li, Xueqi; Yin, Qiongzhou; Chen, Hongbo; Long, Runxiang; Zhao, Zhimei; Mou, Tangwei; Zhao, Heng; Feng, Shiyin; Xie, Zhongping; Wang, Lichun; He, Zhanlong; Liao, Yun; Fan, Shengtao; Jiang, Ruiju; Wang, Jianfeng; Zhang, Lingli; Li, Jing; Zheng, Huiwen; Cui, Pingfang; Jiang, Guorun; Guo, Lei; Xu, Mingjue; Yang, Huijuan; Lu, Shan; Wang, Xuanyi; Gao, Yang; Xu, Xingli; Cai, Linrui; Zhou, Jian; Yu, Li; Chen, Zhuo; Hong, Chao; Du, Dan; Zhao, Hongling; Li, Yan; Ma, Kaili; Ma, Yunfei; Liu, Donglan; Yao, Shibao; Li, Changgui; Che, Yanchun; Liu, Longding; Li, Qihan",,,,VACCINE,MAY 12 2021,2021,39,20,,,,2746,2754,,10.1016/j.vaccine.2021.04.006,,,0,0,0
"Efficacy and safety of Xiyanping injection in the treatment of COVID-19: A multicenter, prospective, open-label and randomized controlled trial","Zhang, Xin-Yi; Lv, Lang; Zhou, Yu-Long; Xie, Liang-Dong; Xu, Qin; Zou, Xiao-Fan; Ding, Yan; Tian, Jie; Fan, Jia-Liang; Fan, Hai-Wei; Yang, Yi-Xi; Ye, Xiao-Qun",,,,PHYTOTHERAPY RESEARCH,,2021,,,,,,,,,10.1002/ptr.7141,,,0,0,0
A randomized controlled trial to test the effect of simplified guidance with visuals on comprehension of COVID-19 guidelines and intention to stay home if symptomatic,"Gold, Natalie; Watson, Robin; Weston, Dale; Greaves, Felix; Amlot, Richard",,,,BMC PUBLIC HEALTH,MAY 10 2021,2021,21,1,,,,,,892,10.1186/s12889-021-10787-9,,,0,0,0
A simple cognitive task intervention to prevent intrusive memories after trauma in patients in the Emergency Department: A randomized controlled trial terminated due to COVID-19,"Kanstrup, Marie; Singh, Laura; Goransson, Katarina E.; Gamble, Beau; Taylor, Rod S.; Iyadurai, Lalitha; Moulds, Michelle L.; Holmes, Emily A.",,,,BMC RESEARCH NOTES,MAY 10 2021,2021,14,1,,,,,,176,10.1186/s13104-021-05572-1,,,0,0,0
The impact of a barrier enclosure on time to tracheal intubation: a randomized controlled trial,"Jen, Tim T. H.; Gusti, Vionarica; Badh, Charanjit; Mehta, Sachin; Denomme, Justine; Lockhart, Shannon; Shams, Benajir; Klaibert, Beau; Chau, Anthony",,,,CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE,,2021,,,,,,,,,10.1007/s12630-021-02024-z,,,0,0,0
A novel approach utilizing laser acupuncture teletherapy for management of elderly-onset rheumatoid arthritis: A randomized clinical trial,"Adly, Aya Sedky; Adly, Afnan Sedky; Adly, Mahmoud Sedky; Ali, Mohammad F.",,,,JOURNAL OF TELEMEDICINE AND TELECARE,,2021,,,,,,,,1357633X211009861,10.1177/1357633X211009861,,,0,0,0
Assessing the impact of COVID-19 on registered interventional clinical trials,"Hawila, Nour; Berg, Arthur",,,,CTS-CLINICAL AND TRANSLATIONAL SCIENCE,,2021,,,,,,,,,10.1111/cts.13034,,,0,0,0
Percutaneous Ultrasound Guided Gastrostomy Tube Placement: A Prospective Cohort Trial,"Reis, Stephen P.; Brejt, Sidney Z.; Weintraub, Joseph R.; Ahmad, Noor; Susman, Jonathan; Mobley, David G.",,,,JOURNAL OF INTENSIVE CARE MEDICINE,,2021,,,,,,,,8.85067E+15,10.1177/08850666211015595,,,0,0,0
"Effect of intensive care unit-specific virtual reality (ICU-VR) to improve psychological well-being and quality of life in COVID-19 ICU survivors: a study protocol for a multicentre, randomized controlled trial","Vlake, Johan H.; Van Bommel, Jasper; Wils, Evert-Jan; Korevaar, Tim I. M.; Hellemons, Merel E.; Schut, Anna F. C.; Labout, Joost A. M.; Schreuder, Lois L. H.; Gommers, Diederik; Van Genderen, Michel E.",,,,TRIALS,MAY 5 2021,2021,22,1,,,,,,328,10.1186/s13063-021-05271-z,,,0,0,0
Standard Care Versus Awake Prone Position in Adult Nonintubated Patients With Acute Hypoxemic Respiratory Failure Secondary to COVID-19 Infection-A Multicenter Feasibility Randomized Controlled Trial,"Jayakumar, Devachandran; Ramachandran, Pratheema; Rabindrarajan, Ebenezer; Vijayaraghavan, Bharath Kumar Tirupakuzhi; Ramakrishnan, Nagarajan; Venkataraman, Ramesh",,,,JOURNAL OF INTENSIVE CARE MEDICINE,,2021,,,,,,,,8.85067E+15,10.1177/08850666211014480,,,0,0,0
Exploring Risks of Human Challenge Trials For COVID-19,"Manheim, David; Wiecek, Witold; Schmit, Virginia; Morrison, Josh",1Day Sooner Res Team,,,RISK ANALYSIS,MAY 2021,2021,41,5,,,SI,710,720,,10.1111/risa.13726,,,0,0,0
In vitro safety clinical trial of the cardiac liability of drug polytherapy,"Charrez, Berenice; Charwat, Verena; Siemons, Brian; Finsberg, Henrik; Miller, Evan; Edwards, Andrew G.; Healy, Kevin E.",,,,CTS-CLINICAL AND TRANSLATIONAL SCIENCE,,2021,,,,,,,,,10.1111/cts.13038,,,0,0,0
Drugs in COVID-19 Clinical Trials: Predicting Transporter-Mediated Drug-Drug Interactions Using In Vitro Assays and Real-World Data,"Yee, Sook Wah; Vora, Bianca; Oskotsky, Tomiko; Zou, Ling; Jakobsen, Sebastian; Enogieru, Osatohanmwen J.; Koleske, Megan L.; Kosti, Idit; Rodin, Mattias; Sirota, Marina; Giacomini, Kathleen M.",,,,CLINICAL PHARMACOLOGY & THERAPEUTICS,,2021,,,,,,,,,10.1002/cpt.2236,,,0,0,0
The utility of a local multidisciplinary working group to oversee the establishment of rapidly evolving standards of care and to support trial recruitment during the COVID-19 pandemic,"Satta, Giovanni; Youngstein, Taryn; Lightstone, Liz; Gilchrist, Mark",COVID 19 Treatme; Imperial Coll Heal,,,CLINICAL MEDICINE,MAY 2021,2021,21,3,,,,E287,E289,,10.7861/clinmed.2020-1021,,,0,0,0
Positive impact of oral hydroxychloroquine and povidone-iodine throat spray for COVID-19 prophylaxis: An open-label randomized trial,"Seet, Raymond Chee Seong; Quek, Amy May Lin; Ooi, Delicia Shu Qin; Sengupta, Sharmila; Lakshminarasappa, Satish Ramapatna; Koo, Chieh Yang; So, Jimmy Bok Yan; Goh, Boon Cher; Loh, Kwok Seng; Fisher, Dale; Teoh, Hock Luen; Sun, Jie; Cook, Alex R.; Tambyah, Paul Anantharajah; Hartman, Mikael",,,,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,MAY 2021,2021,106,,,,,314,322,,10.1016/j.ijid.2021.04.035,,,0,0,0
Therapeutic plasma exchange in patients with life-threatening COVID-19: a randomised controlled clinical trial,"Faqihi, Fahad; Alharthy, Abdulrahman; Abdulaziz, Salman; Balhamar, Abdullah; Alomari, Awad; AlAseri, Zohair; Tamim, Hani; Alqahtani, Saleh A.; Kutsogiannis, Demetrios J.; Brindley, Peter G.; Karakitsos, Dimitrios; Memish, Ziad A.",,,,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,MAY 2021,2021,57,5,,,,,,106334,10.1016/j.ijantimicag.2021.106334,,,0,0,0
A Qualitative Study of the Impact of COVID-19 on Smoking Behavior for Participants in a Post-Hospitalization Smoking Cessation Trial,"Schnitzer, Kristina; Jones, Sarah; Kelley, Jennifer H. K.; Tindle, Hilary A.; Rigotti, Nancy A.; Kruse, Gina R.",,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,MAY 2021,2021,18,10,,,,,,5404,10.3390/ijerph18105404,,,0,0,0
The Efficacy of Antioxidant Oral Supplements on the Progression of COVID-19 in Non-Critically Ill Patients: A Randomized Controlled Trial,"Abulmeaty, Mahmoud M. A.; Aljuraiban, Ghadeer S.; Shaikh, Sumaya M.; ALEid, Naif E.; Mazrou, Lulwa R. Al; Turjoman, Abdullah A.; Aldosari, Mona S.; Razak, Suhail; El-Sayed, Mervat M.; Areabi, Tahani M.; Alsalafi, Rokia M.; Al-Helio, Yasser S.; Almutairy, Abdulrhman B.; Molla, Haneen N.",,,,ANTIOXIDANTS,MAY 2021,2021,10,5,,,,,,804,10.3390/antiox10050804,,,0,0,0
"Effect of guided imagery on anxiety, muscle pain, and vital signs in patients with COVID-19: A randomized controlled trial","Parizad, Naser; Goli, Rasoul; Faraji, Navid; Mam-Qaderi, Mohsen; Mirzaee, Roshanak; Gharebaghi, Naser; Baghaie, Rahim; Feizipour, Haedeh; Haghighi, Mah-Monir",,,,COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE,MAY 2021,2021,43,,,,,,,101335,10.1016/j.ctcp.2021.101335,,,0,0,0
"Effects and safety of herbal medicines among community-dwelling residents during COVID-19 pandemic: A large prospective, randomized controlled trial (RCT)","Yan, Bohua; Jiang, Zhiwei; Yuan, Jing; Li, Minghui; Zeng, Jieping; Tang, Jianyuan; Lu, Z. Kevin; Ding, Hong; Xia, Jielai; Wang, Qiaoling; Wang, Jundong; Xie, Hongyan; Li, Wenyuan; Zhang, Na; Li, Haiyan; Sang, Xiaoya; Wu, Lina; Xiong, Xiaomo; Tang, Shiyun; Li, Yan; Tao, Mengyao; Xie, Chunguang; Yu, Shuguang",,,,PHYTOMEDICINE,MAY 2021,2021,85,,,,,,,153403,10.1016/j.phymed.2020.153403,,,0,0,0
The Impact of a Harry Potter-Based Cognitive-Behavioral Therapy Skills Curriculum on Suicidality and Well-being in Middle Schoolers: A Randomized Controlled Trial,"Klim-Conforti, Paula; Zaheer, Rabia; Levitt, Anthony J.; Cheung, Amy H.; Schachar, Russell; Schaffer, Ayal; Goldstein, Benjamin, I; Fefergrad, Mark; Niederkrotenthaler, Thomas; Sinyor, Mark",,,,JOURNAL OF AFFECTIVE DISORDERS,MAY 1 2021,2021,286,,,,,134,141,,10.1016/j.jad.2021.02.028,,,0,0,0
Mobile Health Augmented Cardiac Rehabilitation (MCard) in Post-Acute Coronary Syndrome Patients: A randomised controlled trial protocol,"Hisam, Aliya; Haq, Zia Ul; Khan, Zohaib; Doherty, Patrick; Pell, Jill",,,,PAKISTAN JOURNAL OF MEDICAL SCIENCES,MAY-JUN 2021,2021,37,3,,,,890,896,,10.12669/pjms.37.3.3664,,,0,0,0
Randomized controlled trials for alcohol use disorder during the COVID-19 pandemic,"Brown, Zoe E.; Portis, Samantha M.; Fleig, Carline L.; Vasaturo-Kolodner, Talia; Swift, Robert M.; Haass-Koffler, Carolina L.",,,,ALCOHOL,MAY 2021,2021,92,,,,,21,24,,10.1016/j.alcohol.2021.01.001,,,0,0,0
Evaluation of a Novel e-Learning Program for Physiotherapists to Manage Knee Osteoarthritis via Telehealth: Qualitative Study Nested in the PEAK (Physiotherapy Exercise and Physical Activity for Knee Osteoarthritis) Randomized Controlled Trial,"Jones, Sarah E.; Campbell, Penny K.; Kimp, Alexander J.; Bennell, Kim; Foster, Nadine E.; Russell, Trevor; Hinman, Rana S.",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,APR 30 2021,2021,23,4,,,,,,e25872,10.2196/25872,,,0,0,0
A Peer-to-Peer Live-Streaming Intervention for Children During COVID-19 Homeschooling to Promote Physical Activity and Reduce Anxiety and Eye Strain: Cluster Randomized Controlled Trial,"Zheng, Yingfeng; Wang, Wei; Zhong, Yuxin; Wu, Fengchun; Zhu, Zhuoting; Tham, Yih-Chung; Lamoureux, Ecosse; Xiao, Liang; Zhu, Erta; Liu, Haoning; Jin, Ling; Liang, Linyi; Luo, Lixia; He, Mingguang; Morgan, Ian; Congdon, Nathan; Liu, Yizhi",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,APR 30 2021,2021,23,4,,,,,,e24316,10.2196/24316,,,0,0,0
"Pelargonium Extract EPs 7630 in the Treatment of Human Corona Virus-Associated Acute Respiratory Tract Infections - A Secondary Subgroup-Analysis of an Open-Label, Uncontrolled Clinical Trial","Keck, Tilman; Strobl, Andreas; Weinhaeusel, Andreas; Funk, Petra; Michaelis, Martin",,,,FRONTIERS IN PHARMACOLOGY,APR 30 2021,2021,12,,,,,,,666546,10.3389/fphar.2021.666546,,,0,0,0
