Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Cohen, MS; Nirula, A; Mulligan, MJ; Novak, RM; Marovich, M; Yen, C; Stemer, A; Mayer, SM; Wohl, D; Brengle, B; Montague, BT; Frank, I; McCulloh, RJ; Fichtenbaum, CJ; Lipson, B; Gabra, N; Ramirez, JA; Thai, C; Chege, W; Lorenzo, MMG; Sista, N; Farrior, J; Clement, ME; Brown, ER; Custer, KL; Van Naarden, J; Adams, AC; Schade, AE; Dabora, MC; Knorr, J; Price, KL; Sabo, J; Tuttle, JL; Klekotka, P; Shen, L; Skovronsky, DM",,,,"Cohen, Myron S.; Nirula, Ajay; Mulligan, Mark J.; Novak, Richard M.; Marovich, Mary; Yen, Catherine; Stemer, Alexander; Mayer, Stockton M.; Wohl, David; Brengle, Blair; Montague, Brian T.; Frank, Ian; McCulloh, Russell J.; Fichtenbaum, Carl J.; Lipson, Brad; Gabra, Nashwa; Ramirez, Julio A.; Thai, Christine; Chege, Wairimu; Gomez Lorenzo, Margarita M.; Sista, Nirupama; Farrior, Jennifer; Clement, Meredith E.; Brown, Elizabeth R.; Custer, Kenneth L.; Van Naarden, Jacob; Adams, Andrew C.; Schade, Andrew E.; Dabora, Matan C.; Knorr, Jack; Price, Karen L.; Sabo, Janelle; Tuttle, Jay L.; Klekotka, Paul; Shen, Lei; Skovronsky, Daniel M.",,BLAZE-2 Investigators,Effect of Bamlanivimab vs Placebo on Incidence of COVID-19 Among Residents and Staff of Skilled Nursing and Assisted Living Facilities A Randomized Clinical Trial,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,,,,,,,,,,,,"IMPORTANCE Preventive interventions are needed to protect residents and staff of skilled nursing and assisted living facilities from COVID-19 during outbreaks in their facilities. Bamlanivimab, a neutralizing monoclonal antibody against SARS-CoV-2, may confer rapid protection from SARS-CoV-2 infection and COVID-19. OBJECTIVE To determine the effect of bamlanivimab on the incidence of COVID-19 among residents and staff of skilled nursing and assisted living facilities. DESIGN, SETTING, AND PARTICIPANTS Randomized, double-blind, single-dose, phase 3 trial that enrolled residents and staff of 74 skilled nursing and assisted living facilities in the United States with at least 1 confirmed SARS-CoV-2 index case. A total of 1175 participants enrolled in the study from August 2 to November 20, 2020. Database lock was triggered on January 13, 2021, when all participants reached study day 57. INTERVENTIONS Participants were randomized to receive a single intravenous infusion of bamlanivimab, 4200mg (n = 588), or placebo (n = 587). MAIN OUTCOMES AND MEASURES The primary outcomewas incidence of COVID-19, defined as the detection of SARS-CoV-2 by reverse transcriptase-polymerase chain reaction and mild or worse disease severity within 21 days of detection, within 8 weeks of randomization. Key secondary outcomes included incidence of moderate or worse COVID-19 severity and incidence of SARS-CoV-2 infection. RESULTS The prevention population comprised a total of 966 participants (666 staff and 300 residents) who were negative at baseline for SARS-CoV-2 infection and serology (mean age, 53.0 [range, 18-104] years; 722 [ 74.7%] women). Bamlanivimab significantly reduced the incidence of COVID-19 in the prevention population compared with placebo (8.5% vs 15.2%; odds ratio, 0.43 [95% CI, 0.28-0.68]; P <.001; absolute risk difference, -6.6 [95% CI, -10.7 to -2.6] percentage points). Five deaths attributed to COVID-19 were reported by day 57; all occurred in the placebo group. Among 1175 participants who received study product (safety population), the rate of participants with adverse events was 20.1% in the bamlanivimab group and 18.9% in the placebo group. The most common adverse events were urinary tract infection (reported by 12 participants [2%] who received bamlanivimab and 14 [2.4%] who received placebo) and hypertension (reported by 7 participants [1.2%] who received bamlanivimab and 10 [1.7%] who received placebo). CONCLUSIONS AND RELEVANCE Among residents and staff in skilled nursing and assisted living facilities, treatment during August-November 2020 with bamlanivimab monotherapy reduced the incidence of COVID-19 infection. Further research is needed to assess preventive efficacy with current patterns of viral strains with combination monoclonal antibody therapy.",,,,,,,,,,,,,,,,,0098-7484,1538-3598,,,,,,,,,,,,,,,10.1001/jama.2021.8828,,JUN 2021,,,,,WOS:000657801300002,34081073,,,,,
J,"Oakes, AH; Epstein, JA; Ganguly, A; Park, SH; Evans, CN; Patel, MS",,,,"Oakes, Allison H.; Epstein, Jonathan A.; Ganguly, Arupa; Park, Sae-Hwan; Evans, Chalanda N.; Patel, Mitesh S.",,,Effect of Opt-In vs Opt-Out Framing on Enrollment in a COVID-19 Surveillance Testing Program The COVID SAFE Randomized Clinical Trial,JAMA NETWORK OPEN,,,,,,,,,,,,This randomized clinical trial examines the effect of an opt-out recruitment strategy vs a conventional opt-in strategy on enrollment and initial adherence to a COVID-19 surveillance testing program.,,,,,,,,,,,,,,,,,2574-3805,,,,,JUN 3,2021,4,6,,,,,,,e2112434,10.1001/jamanetworkopen.2021.12434,,,,,,,WOS:000657781200006,34081141,,,,,
J,"Solis-Cordero, K; Lerner, R; Marinho, P; Camargo, P; Takey, S; Fujimori, E",,,,"Solis-Cordero, Katherine; Lerner, Rogerio; Marinho, Patricia; Camargo, Patricia; Takey, Silvia; Fujimori, Elizabeth",,,Overcoming methodological challenges due to COVID-19 pandemic in a non-pharmacological caregiver-child randomly controlled trial,INTERNATIONAL JOURNAL OF SOCIAL RESEARCH METHODOLOGY,,,,,,,,,,,,"The current situation due to the COVID-19 pandemic has had huge consequences in all aspects of our lives, including the development of research activities. Studies involving face-to-face interaction with people, such as randomized controlled trials, were the first affected. The objective of this article is to present the insights on challenges brought by the COVID-19 pandemic onto an ongoing randomized controlled trial assessing a non-pharmacological intervention carried out with the participation of caregiver-child dyads. Findings contribute to the scarce literature on online synchronous data collection for quantitative studies, when in addition to the data it is necessary to assess observable behaviors. Video-conferencing proved to be a feasible alternative to face-to-face assessment interviews, which require video recording, and should be considered as a viable option for quantitative investigations of different disciplines, as it decreases risks due to face-to-face contact and mobility of participants and researchers, in continental countries like Brazil.",,,,,,,,,,,,,,,,,1364-5579,1464-5300,,,,,,,,,,,,,,,10.1080/13645579.2021.1933067,,JUN 2021,,,,,WOS:000656793000001,,,,,,
J,"Papandreou, P; Gioxari, A; Nimee, F; Skouroliakou, M",,,,"Papandreou, Panos; Gioxari, Aristea; Nimee, Frantzeska; Skouroliakou, Maria",,,Application of Clinical Decision Support System to Assist Breast Cancer Patients with Lifestyle Modifications during the COVID-19 Pandemic: A Randomised Controlled Trial,NUTRIENTS,,,,,,,,,,,,"Clinical decision support systems (CDSS) are data aggregation tools based on computer technology that assist clinicians to promote healthy weight management and prevention of cardiovascular diseases. We carried out a randomised controlled 3-month trial to implement lifestyle modifications in breast cancer (BC) patients by means of CDSS during the COVID-19 pandemic. In total, 55 BC women at stages I-IIIA were enrolled. They were randomly assigned either to Control group, receiving general lifestyle advice (n = 28) or the CDSS group (n = 27), to whom the CDSS provided personalised dietary plans based on the Mediterranean diet (MD) together with physical activity guidelines. Food data, anthropometry, blood markers and quality of life were evaluated. At 3 months, higher adherence to MD was recorded in the CDSS group, accompanied by lower body weight (kg) and body fat mass percentage compared to control (p < 0.001). In the CDSS arm, global health/quality of life was significantly improved at the trial endpoint (p < 0.05). Fasting blood glucose and lipid levels (i.e., cholesterol, LDL, triacylglycerols) of the CDSS arm remained unchanged (p > 0.05) but were elevated in the control arm at 3 months (p < 0.05). In conclusion, CDSS could be a promising tool to assist BC patients with lifestyle modifications during the COVID-19 pandemic.",,,,,,,,,,,,,,,,,,2072-6643,,,,JUN,2021,13,6,,,,,,,2115,10.3390/nu13062115,,,,,,,WOS:000666239600001,34203025,,,,,
J,"Samaha, AA; Mouawia, H; Fawaz, M; Hassan, H; Salami, A; Al Bazzal, A; Saab, HB; Al-Wakeel, M; Alsaabi, A; Chouman, M; Al Moussawi, M; Ayoub, H; Raad, A; Hajjeh, O; Eid, AH; Raad, H",,,,"Samaha, Ali A.; Mouawia, Hussein; Fawaz, Mirna; Hassan, Hamad; Salami, Ali; Al Bazzal, Ali; Saab, Hamid Bou; Al-Wakeel, Mohamed; Alsaabi, Ahmad; Chouman, Mohamad; Al Moussawi, Mahmoud; Ayoub, Hassan; Raad, Ali; Hajjeh, Ola; Eid, Ali H.; Raad, Houssam",,,Effects of a Single Dose of Ivermectin on Viral and Clinical Outcomes in Asymptomatic SARS-CoV-2 Infected Subjects: A Pilot Clinical Trial in Lebanon,VIRUSES-BASEL,,,,,,,,,,,,"Objective: This study was designed to determine the efficacy of ivermectin, an FDA-approved drug, in producing clinical benefits and decreasing the viral load of SARS-CoV-2 among asymptomatic subjects that tested positive for this virus in Lebanon. Methods: A randomized controlled trial was conducted in 100 asymptomatic Lebanese subjects that have tested positive for SARS-CoV2. Fifty patients received standard preventive treatment, mainly supplements, and the experimental group received a single dose (according to body weight) of ivermectin, in addition to the same supplements the control group received. Results: There was no significant difference (p = 0.06) between Ct-values of the two groups before the regimen was started (day zero), indicating that subjects in both groups had similar viral loads. At 72 h after the regimen started, the increase in Ct-values was dramatically higher in the ivermectin than in the control group. In the ivermectin group, Ct increased from 15.13 +/- 2.07 (day zero) to 30.14 +/- 6.22 (day three; mean +/- SD), compared to the control group, where the Ct values increased only from 14.20 +/- 2.48 (day zero) to 18.96 +/- 3.26 (day three; mean +/- SD). Moreover, more subjects in the control group developed clinical symptoms. Three individuals (6%) required hospitalization, compared to the ivermectin group (0%). Conclusion: Ivermectin appears to be efficacious in providing clinical benefits in a randomized treatment of asymptomatic SARS-CoV-2-positive subjects, effectively resulting in fewer symptoms, lower viral load and reduced hospital admissions. However, larger-scale trials are warranted for this conclusion to be further cemented.",,,,,"Salami, Ali/0000-0003-3343-4035; Eid, Ali/0000-0003-3004-5675; Mouawia, Hussein/0000-0002-6035-6071",,,,,,,,,,,,,1999-4915,,,,JUN,2021,13,6,,,,,,,989,10.3390/v13060989,,,,,,,WOS:000666474000001,34073401,,,,,
J,"Sun, YC; Butler, A; Stewart, LA; Liu, H; Yuan, C; Southard, CT; Kim, JH; Weng, CH",,,,"Sun, Yingcheng; Butler, Alex; Stewart, Latoya A.; Liu, Hao; Yuan, Chi; Southard, Christopher T.; Kim, Jae Hyun; Weng, Chunhua",,,Building an OMOP common data model-compliant annotated corpus for COVID-19 clinical trials,JOURNAL OF BIOMEDICAL INFORMATICS,,,,,,,,,,,,"Clinical trials are essential for generating reliable medical evidence, but often suffer from expensive and delayed patient recruitment because the unstructured eligibility criteria description prevents automatic query generation for eligibility screening. In response to the COVID-19 pandemic, many trials have been created but their information is not computable. We included 700 COVID-19 trials available at the point of study and developed a semi-automatic approach to generate an annotated corpus for COVID-19 clinical trial eligibility criteria called COVIC. A hierarchical annotation schema based on the OMOP Common Data Model was developed to accommodate four levels of annotation granularity: i.e., study cohort, eligibility criteria, named entity and standard concept. In COVIC, 39 trials with more than one study cohorts were identified and labelled with an identifier for each cohort. 1,943 criteria for non-clinical characteristics such as informed consent, exclusivity of participation were annotated. 9767 criteria were represented by 18,161 entities in 8 domains, 7,743 attributes of 7 attribute types and 16,443 relationships of 11 relationship types. 17,171 entities were mapped to standard medical concepts and 1,009 attributes were normalized into computable representations. COVIC can serve as a corpus indexed by semantic tags for COVID-19 trial search and analytics, and a benchmark for machine learning based criteria extraction.",,,,,"Weng, Chunhua/0000-0002-9624-0214; Sun, Yingcheng/0000-0002-8693-5768",,,,,,,,,,,,1532-0464,1532-0480,,,,JUN,2021,118,,,,,,,,103790,10.1016/j.jbi.2021.103790,,,,,,,WOS:000663600500011,33887457,,,,,
J,"Sun, SF; Lin, DH; Operario, D",,,,"Sun, Shufang; Lin, Danhua; Operario, Don",,,"Interest in COVID-19 vaccine trials participation among young adults in China: Willingness, reasons for hesitancy, and demographic and psychosocial determinants",PREVENTIVE MEDICINE REPORTS,,,,,,,,,,,,"With the demand for rapid COVID-19 vaccine development and evaluation, this paper aimed to describe the prevalence and correlates of willingness to participate in COVID-19 vaccine trials among university students in China. A cross-sectional survey with 1912 Chinese university students was conducted during March and April 2020. Bivariate and multivariate analyses were performed to identify variables associated with willingness to participate. The majority of participants (64.01%) indicated willingness to participate in COVID-19 vaccine trials. Hesitancy over signing informed consent documents, concerns over time necessary for participating in a medical study, and perceived COVID-19 societal stigma were identified as deterrents, whereas lower socioeconomic status, female gender, perception of likely COVID-19 infection during the pandemic, and COVID-19 prosocial behaviors were facilitative factors. Further, public health mistrust and hesitancy over signing informed consent documents had a significant interactive effect on vaccine trial willingness. High standards of ethical and scientific practice are needed in COVID-19 vaccine research, including providing potential participants full and accurate information and ensuring participation free of coercion, socioeconomic inequality, and stigma. Attending to the needs of marginalized groups and addressing psychosocial factors including stigma and public health mistrust may also be important to COVID-19 vaccine development and future uptake.",,,,,"Operario, Don/0000-0003-2467-5048",,,,,,,,,,,,,2211-3355,,,,JUN,2021,22,,,,,,,,101350,10.1016/j.pmedr.2021.101350,,,,,,,WOS:000659961900036,33816087,,,,,
J,"Song, JQ; Jiang, RH; Chen, N; Qu, W; Liu, D; Zhang, M; Fan, HZ; Zhao, YL; Tan, SP",,,,"Song, Jiaqi; Jiang, Ronghuan; Chen, Nan; Qu, Wei; Liu, Dan; Zhang, Meng; Fan, Hongzhen; Zhao, Yanli; Tan, Shuping",,,Self-help cognitive behavioral therapy application for COVID-19-related mental health problems: A longitudinal trial,ASIAN JOURNAL OF PSYCHIATRY,,,,,,,,,,,,"Background and aim: Recently, the availability and usefulness of mobile self-help mental health applications have increased, but few applications deal with COVID-19-related psychological problems. This study explored the intervention efficacy of a mobile application on addressing psychological problems related to COVID-19. Methods: A longitudinal control trial involving 129 Chinese participants with depression symptoms was conducted through the mobile application Care for Your Mental Health and Sleep during COVID-19 (CMSC) based on WeChat. Participants were divided into two groups: mobile internet cognitive behavioral therapy (MiCBT) and wait-list. The primary outcome was improvement in depression symptoms. Secondary outcomes included improvement in anxiety and insomnia. The MiCBT group received three self-help CBT intervention sessions in one week via CMSC. Results: The MiCBT group showed significant improvement in depression and insomnia (all P < 0.05) compared with the wait-list group. Although both groups showed significant improvement in anxiety at the intervention's end, compared with the wait-list group, the MiCBT group had no significant advantage. Correlation analysis showed that improvement in depression and anxiety had a significant positive association with education level. Changes in insomnia were significantly negatively correlated with anxiety of COVID-19 at the baseline. CMSC was considered helpful (n=68, 81.9 %) and enjoyable (n=54, 65.9 %) in relieving depression and insomnia during the COVID-19 outbreak. Conclusions: CMSC is verified to be effective and convenient for improving COVID-19-related depression and insomnia symptoms. A large study with sufficient evidence is required to determine its continuous effect on reducing mental health problems during the pandemic.",,,,,,,,,,,,,,,,,1876-2018,1876-2026,,,,JUN,2021,60,,,,,,,,102656,10.1016/j.ajp.2021.102656,,,,,,,WOS:000661285600005,33866282,,,,,
J,"Wu, ZW; Hu, YL; Xu, M; Chen, Z; Yang, WQ; Jiang, ZW; Li, MJ; Jin, H; Cui, GL; Chen, PP; Wang, L; Zhao, GQ; Ding, YZ; Zhao, YL; Yin, WD",,,,"Wu, Zhiwei; Hu, Yaling; Xu, Miao; Chen, Zhen; Yang, Wanqi; Jiang, Zhiwei; Li, Minjie; Jin, Hui; Cui, Guoliang; Chen, Panpan; Wang, Lei; Zhao, Guoqing; Ding, Yuzhu; Zhao, Yuliang; Yin, Weidong",,,"Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine (CoronaVac) in healthy adults aged 60 years and older: a randomised, double-blind, placebo-controlled, phase 1/2 clinical trial",LANCET INFECTIOUS DISEASES,,,,,,,,,,,,"Findings Between May 22 and June 1, 2020, 72 participants (24 in each intervention group and 24 in the placebo group; mean age 65 center dot 8 years [SD 4 center dot 8]) were enrolled in phase 1, and between June 12 and June 15, 2020, 350 participants were enrolled in phase 2 (100 in each intervention group and 50 in the placebo group; mean age 66 center dot 6 years [SD 4 center dot 7] in 349 participants). In the safety populations from both phases, any adverse reaction within 28 days after injection occurred in 20 (20%) of 100 participants in the 1 center dot 5 mu g group, 25 (20%) of 125 in the 3 mu g group, 27 (22%) of 123 in the 6 mu g group, and 15 (21%) of 73 in the placebo group. All adverse reactions were mild or moderate in severity and injection site pain (39 [9%] of 421 participants) was the most frequently reported event. As of Aug 28, 2020, eight serious adverse events, considered unrelated to vaccination, have been reported by seven (2%) participants. In phase 1, seroconversion after the second dose was observed in 24 of 24 participants (100 center dot 0% [95% CI 85 center dot 8-100 center dot 0]) in the 3 mu g group and 22 of 23 (95 center dot 7% [78 center dot 1-99 center dot 9]) in the 6 mu g group. In phase 2, seroconversion was seen in 88 of 97 participants in the 1 center dot 5 mu g group (90 center dot 7% [83 center dot 1-95 center dot 7]), 96 of 98 in the 3 mu g group (98 center dot 0% [92 center dot 8-99 center dot 8]), and 97 of 98 (99 center dot 0% [94 center dot 5-100 center dot 0]) in the 6 mu g group. There were no detectable Summary Background A vaccine against COVID-19 is urgently needed for older adults, in whom morbidity and mortality due to the disease are increased. We aimed to assess the safety, tolerability, and immunogenicity of a candidate COVID-19 vaccine, CoronaVac, containing inactivated SARS-CoV-2, in adults aged 60 years and older. Methods We did a randomised, double-blind, placebo-controlled, phase 1/2 clinical trial of CoronaVac in healthy adults aged 60 years and older in Renqiu (Hebei, China). Vaccine or placebo was given by intramuscular injection in two doses (days 0 and 28). Phase 1 comprised a dose-escalation study, in which participants were allocated to two blocks: block 1 (3 mu g inactivated virus in 0 & middot;5 mL of aluminium hydroxide solution per injection) and block 2 (6 mu g per injection). Within each block, participants were randomly assigned (2:1) using block randomisation to receive CoronaVac or placebo (aluminium hydroxide solution only). In phase 2, participants were randomly assigned (2:2:2:1) using block randomisation to receive either CoronaVac at 1 & middot;5 mu g, 3 & micro;g, or 6 & micro;g per dose, or placebo. All participants, investigators, and laboratory staff were masked to treatment allocation. The primary safety endpoint was adverse reactions within 28 days after each injection in all participants who received at least one dose. The primary immunogenicity endpoint was seroconversion rate at 28 days after the second injection (which was assessed in all participants who had received the two doses of vaccine according to their random assignment, had antibody results available, and did not violate the trial protocol). Seroconversion was defined as a change from seronegative at baseline to seropositive for neutralising antibodies to live SARS-CoV-2 (positive cutoff titre 1/8), or a four-fold titre increase if the participant was seropositive at baseline. This study is ongoing and is registered with ClinicalTrials.gov (NCT04383574). Findings Between May 22 and June 1, 2020, 72 participants (24 in each intervention group and 24 in the placebo group; mean age 65 & middot;8 years [SD 4 & middot;8]) were enrolled in phase 1, and between June 12 and June 15, 2020, 350 participants were enrolled in phase 2 (100 in each intervention group and 50 in the placebo group; mean age 66 & middot;6 years [SD 4 & middot;7] in 349 participants). In the safety populations from both phases, any adverse reaction within 28 days after injection occurred in 20 (20%) of 100 participants in the 1 & middot;5 mu g group, 25 (20%) of 125 in the 3 mu g group, 27 (22%) of 123 in the 6 mu g group, and 15 (21%) of 73 in the placebo group. All adverse reactions were mild or moderate in severity and injection site pain (39 [9%] of 421 participants) was the most frequently reported event. As of Aug 28, 2020, eight serious adverse events, considered unrelated to vaccination, have been reported by seven (2%) participants. In phase 1, seroconversion after the second dose was observed in 24 of 24 participants (100 & middot;0% [95% CI 85 & middot;8 & ndash;100 & middot;0]) in the 3 mu g group and 22 of 23 (95 & middot;7% [78 & middot;1 & ndash;99 & middot;9]) in the 6 mu g group. In phase 2, seroconversion was seen in 88 of 97 participants in the 1 & middot;5 mu g group (90 & middot;7% [83 & middot;1 & ndash;95 & middot;7]), 96 of 98 in the 3 mu g group (98 & middot;0% [92 & middot;8 & ndash;99 & middot;8]), and 97 of 98 (99 & middot;0% [94 & middot;5 & ndash;100 & middot;0]) in the 6 mu g group. There were no detectable antibody responses in the placebo groups. Interpretation CoronaVac is safe and well tolerated in older adults. Neutralising antibody titres induced by the 3 mu g dose were similar to those of the 6 mu g dose, and higher than those of the 1 & middot;5 mu g dose, supporting the use of the 3 mu g dose CoronaVac in phase 3 trials to assess protection against COVID-19.",,,,,,,,,,,,,,,,,1473-3099,1474-4457,,,,JUN,2021,21,6,,,,,803,812,,10.1016/S1473-3099(20)30987-7,,,,,,,WOS:000655830800027,33548194,,,,,
J,"Allen, S; Thomas, J; Harrison, K; Emery, RL; Petersen, A; Winickoff, JP; Japuntich, S",,,,"Allen, Sharon; Thomas, Janet; Harrison, Katherine; Emery, Rebecca L.; Petersen, Ashley; Winickoff, Jonathan P.; Japuntich, Sandra",,,"Bupropion for postpartum smoking relapse: A remote protocol for a two-arm, double-blind, placebo-controlled randomized clinical trial",CONTEMPORARY CLINICAL TRIALS,,,,,,,,,,,,"Cigarette smoking among postpartum women remains a significant public health problem despite known health risks to women and their newborns. It is estimated that over 50% of women quit smoking during pregnancy but 90% relapse by one year. Safe and effective postpartum relapse prevention strategies are urgently needed. In an attempt to address this deficit, we will investigate the efficacy of bupropion vs. placebo as a smoking relapse prevention aid in postpartum women. The objective of this paper is to detail an approach to investigate bupropion's efficacy for preventing postpartum smoking relapse among women who quit smoking during pregnancy. Specifically, we designed a two-arm, double-blind, placebo-controlled randomized trial testing the efficacy of bupropion vs. placebo as a relapse prevention tool. Mothers of healthy infants who quit smoking while pregnant will be stratified based on current or past history of major depressive disorder or persistent depressive disorder and randomized to receive either active (bupropion XL 300 mg/day) or placebo medication for 12 weeks. To respond to safety concerns associated with participant and staff exposure to COVID-19, we revised our original protocol and present procedures which allow our trial to be conducted entirely remotely. Primary and secondary outcomes will be assessed at weeks 12, 24, 36 and 52 post-randomization. The primary outcome is 7-day point prevalence abstinence at 24 weeks. Results of this work have the potential to positively impact women and their children by promoting lifelong cessation, eliminating secondhand smoke exposure, and modelling of abstinence to children.",,,,,"Emery, Rebecca/0000-0002-9541-6791; Allen, Sharon/0000-0003-2797-8001",,,,,,,,,,,,1551-7144,1559-2030,,,,JUN,2021,105,,,,,,,,106352,10.1016/j.cct.2021.106352,,,,,,,WOS:000656784700014,33706003,,,,,
J,"Moon, SJE; Dabbs, AD; Hergenroeder, AL; Vendetti, ML; Jones, KB; Willey, BM; Morrell, MR; Imes, CC",,,,"Moon, Seol Ju E.; Dabbs, Annette DeVito; Hergenroeder, Andrea L.; Vendetti, Melissa L.; Jones, Kristen B.; Willey, Bryan M.; Morrell, Matthew R.; Imes, Christopher C.",,,Considerations for assessing physical function and physical activity in clinical trials during the COVID-19 pandemic,CONTEMPORARY CLINICAL TRIALS,,,,,,,,,,,,"The coronavirus disease-2019 (COVID-19) pandemic has changed the conduct of clinical trials. For studies with physical function and physical activity outcomes that require in-person participation, thoughtful approaches in transitioning to the remote research environment are critical. Here, we share our experiences in transitioning from in-person to remote assessments of physical function and activity during the pandemic and highlight key considerations for success. Details on the development of the remote assessment protocol, integration of a twoway video platform, and implementation of remote assessments are addressed. In particular, procedural challenges and considerations in transitioning and conducting remote assessments will be discussed in terms of efforts to maintain participant safety, maximize study efficiency, and sustain trial integrity. Plans for triangulation and analysis are also discussed. Although the role of telehealth platforms and research activities in remote settings are still growing, our experiences suggest that adopting remote assessment strategies are useful and convenient in assessing study outcomes during, and possibly even beyond, the current pandemic. Trial register and number: ClinicalTrials.gov [NCT03728257].",,,,,,,,,,,,,,,,,1551-7144,1559-2030,,,,JUN,2021,105,,,,,,,,106407,10.1016/j.cct.2021.106407,,,,,,,WOS:000656784700017,33887443,,,,,
J,"Amin, BZ",,,,"Amin, Bushra Zafreen",,,Ethical considerations of recruiting migrant workers for clinical trials,JOURNAL OF MEDICAL ETHICS,,,,,,,,,,,,"Migrant workers in dormitories are an attractive source of clinical trial participants. However, they are a vulnerable population that has been disproportionately affected by the COVID-19 pandemic. Guidelines on recruiting vulnerable populations (such as prisoners, children or the mentally impaired) for clinical trials have long been established, but ethical considerations for migrant workers have been neglected. This article aims to highlight and explain what researchers recruiting migrant workers must be cognizant of, and offers recommendations to address potential concerns. The considerations raised in this article include: three types of illiteracy, power dynamics, the risks associated with communal living and potential benefits to the migrant workers as well as researchers.",,,,,,,,,,,,,,,,,0306-6800,1473-4257,,,,JUN,2021,47,6,,,,,434,436,,10.1136/medethics-2020-106767,,,,,,,WOS:000656480500019,33514636,,,,,
